cigar	雪茄
bilbo	比尔博
bilby	比尔比
biled	胆汁
biles	英里
bilgy	汽车
bilks	诈骗
bills	账单
bimah	诵经台
bimas	比姆
bimbo	宾博
binal	二元的
bindi	很大
binds	束缚
biner	宾纳
bines	宾斯
bings	狂欢
bingy	暴饮暴食
binit	位
binks	宾克斯
bints	宾茨
biogs	传记
biont	生物
biota	生物群
biped	两足动物
bipod	双脚架
birds	鸟
birks	伯克斯
birle	统一
birls	贝尔斯
biros	比罗斯
birrs	比尔
birse	箭头
birsy	桦树
bises	野牛
bisks	比斯克
bisom	比索姆
bitch	贱人
biter	位
bites	咬
bitos	位
bitou	位
bitsy	卑鄙的
bitte	拜托
bitts	比特
bivia	比维亚
bivvy	露营车
bizes	奇怪的
bizzo	奇怪的
bizzy	古怪的
blabs	废话
blads	叶子
blady	布莱迪
blaer	床单
blaes	白色
blaff	废话
blags	布拉格
blahs	废话
blain	痘痘
blams	责备
blart	布拉特
blase	布拉斯
blash	亵渎
blate	岩石
blats	插槽
blatt	床单
blaud	蓝色
blawn	布朗
blaws	蓝色
blays	布莱斯
blear	惨淡的
blebs	气泡
blech	金属板
blees	花
blent	布莱特
blert	流血
blest	祝福
blets	布莱茨
bleys	布莱斯
blimy	天哪
bling	闪亮的
blini	买了
blins	布林斯
bliny	布林斯
blips	光点
blist	水泡
blite	布莱特
blits	布利茨
blive	停留
blobs	斑点
blocs	阻碍
blogs	博客
blook	网志书
bloop	布洛普
blore	年
blots	污渍
blows	吹
blowy	脸红
blude	布鲁德
bluds	布鲁兹
bludy	妄想
blued	发蓝
blues	忧郁
bluet	布鲁特
bluey	花
bluid	布鲁伊德
blume	花
blunk	布伦克
blurs	模糊
blype	彭佩
boabs	公猪
boaks	箱
boars	野猪
boart	板
boats	船
bobac	波巴赫
bobak	博巴克
bobas	博巴斯
bobol	波波
bobos	波波人
bocca	口
bocce	博切
bocci	博奇
boche	波切
bocks	博克斯
boded	预兆
bodes	预兆
bodge	博奇
bodhi	菩提
bodle	棍枝
boeps	波普
boets	盒
boeuf	博伊夫
boffo	波夫
boffs	全部的
bogan	软的
bogey	博吉
boggy	博吉
bogie	转向架
bogle	裸体的
bogue	错误
bogus	假的
bohea	坏的
bohos	博霍斯
boils	沸腾
boing	博因
boink	博因克
boite	盒子
boked	博克
bokeh	书
bokes	博克斯
bokos	灌木丛
bolar	博拉尔
bolas	博拉斯
bolds	球
boles	球
bolix	博利克斯
bolls	棉铃
bolos	博洛斯
bolts	螺栓
bolus	丸
bomas	炸弹
bombe	炸弹
bombo	炸弹
bombs	炸弹
bonce	邦斯
bonds	纽带
boned	骨瘦如柴
boner	博纳
bones	骨头
bongs	邦斯
bonie	邦尼斯
bonks	邦克斯
bonne	好
bonny	邦妮
bonza	美丽的
bonze	邦兹
booai	布艾
booay	布埃
boobs	乳房
boody	酒鬼
booed	嘘声
boofy	酒鬼
boogy	酒鬼
boohs	嘘
books	书
booky	书呆子
bools	布尔
booms	繁荣
boomy	繁荣
boong	是 啊。
boons	恩惠
boord	板
boors	乡下佬
boose	嘘声
boots	靴子
boppy	波比
borak	博拉克
boral	硼砂
boras	训练
borde	应该
bords	边缘
bored	无聊的
boree	博雷
borel	博雷尔
borer	蛀虫
bores	无聊的
borgo	博尔戈
boric	鲍里斯
borks	博克斯
borms	博姆斯
borna	博尔纳
boron	硼
borts	远离的
borty	波蒂
bortz	六
bosie	赤脚的
bosks	老板
bosky	博斯基
boson	玻色子
bosun	水手长
botas	靴子
botel	博泰尔
botes	靴子
bothy	二者都
botte	桶
botts	博茨
botty	博蒂
bouge	移动
bouks	布克斯
boult	博尔特
bouns	布恩斯
bourd	波德
bourg	村镇
bourn	伯恩
bouse	布塞
bousy	布西
bouts	搏斗
bovid	牛的
bowat	字节
bowed	鞠躬
bower	鲍尔
bowes	鲍斯。
bowet	鲍特
bowie	鲍伊
bowls	碗
bowne	鲍恩
bowrs	弓箭手
bowse	鲍斯
boxed	盒装的
boxen	盒
boxes	盒
boxla	拨号
boxty	方形的
boyar	纱线
boyau	内胆
boyed	博伊德
boyfs	男孩
boygs	博伊格斯
boyla	男朋友
boyos	男孩
boysy	男孩的
bozos	笨蛋
braai	布雷
brach	打破了
brack	布雷克
bract	苞片
brads	布拉兹
braes	咆哮
brags	吹嘘
brail	咆哮
braks	刹车
braky	丢失的
brame	吹牛
brane	破碎的
brank	布兰克
brans	布兰斯
brant	布兰特
brast	布拉斯特
brats	小鬼
brava	好极了
bravi	布拉维
braws	吹嘘
braxy	布拉西
brays	嘶叫
braza	臂
braze	硬钎焊
bream	布雷姆
brede	宽的
breds	宽度
breem	错误
breer	兄弟
brees	短的
breid	布雷德
breis	额外的
breme	负担
brens	燃烧
brent	布伦特
brere	更广的
brers	布雷尔斯
breve	短的
brews	酿造
breys	布雷斯
brier	荆棘
bries	布里
brigs	布里格斯
briki	砖
briks	砖
brill	布里尔
brims	边缘
brins	盐水
brios	布里奥斯
brise	微风
briss	刷
brith	英国
brits	英国人
britt	英国人
brize	布里兹
broch	过程
brock	布洛克
brods	肉汤
brogh	布罗
brogs	布罗兹
brome	溴
bromo	布罗莫
bronc	布朗克
brond	布朗德
brool	布罗尔
broos	兄弟们
brose	博泽
brosy	过程
brows	眉头
brugh	布鲁
bruin	棕色的
bruit	传播
brule	燃烧
brume	雾
brung	布伦
brusk	刷
brust	乳房
bruts	未经加工的
buats	制造的
buaze	布阿兹
bubal	布尔
bubas	小家伙
bubba	布巴
bubbe	布贝
bubby	泡泡
bubus	布布斯
buchu	布楚
bucko	巴克
bucks	雄鹿
bucku	巴克
budas	警觉的
budis	用布莱叶盲文和之前的聊天室留言
budos	布多斯
buffa	有趣的
buffe	棕黄色
buffi	布菲
buffo	布福
buffs	爱好者
buffy	巴菲
bufos	胡扯
bufty	丰满的
buhls	布尔
buiks	肚子
buist	外面的
bukes	巴克斯
bulbs	灯泡
bulgy	鼓胀的
bulks	大块
bulla	布拉
bulls	公牛
bulse	球茎
bumbo	低音鼓
bumfs	流浪汉
bumph	颠簸
bumps	颠簸
bumpy	坎坷的
bunas	基础
bunce	来源
bunco	邦科
bunde	外滩
bundh	外滩
bunds	外滩
bundt	捆
bundu	夹克
bundy	邦迪
bungs	桶
bungy	邦吉
bunia	布尼亚
bunje	先进的
bunjy	邦吉
bunko	邦科
bunks	铺位
bunns	底部
bunts	短发
bunty	邦蒂
bunya	晴朗的
buoys	浮标
buppy	胖乎乎的
buran	逃跑
buras	布拉斯
burbs	打嗝
burds	伯兹
buret	滴定管
burfi	伯菲
burgh	伯格
burgs	伯格斯
burin	布林
burka	布卡
burke	伯克
burks	伯克斯
burls	伯尔斯
burns	烧伤
buroo	布鲁
burps	打嗝
burqa	布卡
burro	黄油
burrs	毛刺
burry	伯里
bursa	法氏囊
burse	伯斯
busby	巴斯比
buses	公共汽车
busks	街头表演
busky	忙碌的
bussu	布苏
busti	_其他组织者
busts	半身像
busty	丰满的
buteo	布托
butes	但是
butle	瓶
butoh	钮扣
butts	屁股
butty	巴蒂
butut	按钮
butyl	丁基
buzzy	嗡嗡的
bwana	布瓦纳
bwazi	布瓦齐
byded	拜德
bydes	投标
byked	比克
bykes	拜克斯
byres	拜尔斯
byrls	伯尔斯
byssi	旁路
bytes	字节
byway	顺便说一句
cabas	电缆
caber	卡伯
cabob	驾驶室
cabre	山羊
cacas	卡卡
cacks	卡克斯
cacky	仙人掌
cadee	落下
cades	串
cadge	乞讨
cadgy	凯蒂
cadie	凯蒂
cadis	今天
cadre	干部
caeca	卡埃卡
caese	卡塞语
cafes	咖啡馆
caffs	咖啡馆
caged	笼
cager	凯杰
cages	笼子
cagot	卡戈
cahow	卡霍
caids	凯兹
cains	卡恩斯
caird	卡片
cajon	卡戎
cajun	卡琼
caked	结块
cakes	蛋糕
cakey	卡基
calfs	小牛
calid	卡利德
calif	加州
calix	杯
calks	卡尔克斯
calla	马蹄莲
calls	电话
calms	平静下来
calmy	平静的
calos	卡洛斯
calpa	加州大学
calps	卡尔普斯
calve	小牛
calyx	花萼
caman	卡曼
camas	床
cames	脚
camis	卡米斯
camos	迷彩服
campi	领域
campo	坎波
camps	营地
campy	坎皮
camus	加缪
caned	鞭打
caneh	卡内
caner	手杖
canes	手杖
cangs	苍
canid	犬科动物
canna	美人蕉
canns	戛纳
canso	疲劳
canst	坎斯特
canto	篇
cants	坎茨
canty	康蒂
capas	盖子
caped	披风
capes	层
capex	资本支出
caphs	卡普斯
capiz	卡皮兹
caple	卡普尔
capon	卡彭
capos	卡波斯
capot	卡波特
capri	卡普里
capul	头部
carap	卡拉普
carbo	卡波
carbs	碳水化合物
carby	卡比
cardi	卡
cards	卡
cardy	卡
cared	关心
carer	护工
cares	关心
caret	插入符号
carex	苔草
carks	汽车
carle	卡尔
carls	%%s的s
carns	卡恩斯
carny	卡尼
carob	角豆
carom	卡罗姆
caron	卡隆
carpi	卡皮
carps	鲤鱼
carrs	汽车
carse	卡塞
carta	卡塔
carte	菜单
carts	手推车
carvy	沙皇
casas	房屋
casco	头盔
cased	外壳
cases	案例
casks	木桶
casky	卡斯基
casts	铸造
casus	箱
cates	美食
cauda	考达
cauks	超出范围
cauld	考尔德
cauls	管
caums	下车
caups	奶牛
cauri	过程
causa	原因
cavas	卡瓦斯
caved	屈服
cavel	卡维尔
caver	洞穴探险者
caves	洞穴
cavie	卡维
cawed	哄骗
cawks	呱呱叫
caxon	卡克森
ceaze	齐泽
cebid	塞比德
cecal	盲肠
cecum	盲肠
ceded	放弃
ceder	塞德
cedes	割让
cedis	塞迪斯
ceiba	木棉
ceili	塞利
ceils	细胞
celeb	名人
cella	塞拉
celli	细胞
cells	细胞
celom	细胞
celts	凯尔特人
cense	许可证
cento	一百
cents	美分
centu	中央
ceorl	英寸
cepes	塞普斯
cerci	圈子
cered	塞雷德
ceres	谷神星
cerge	塞奇
ceria	西莉亚
ceric	铈
cerne	核心
ceroc	零的
ceros	零
certs	对
certy	当然
cesse	停止
cesta	路
cesti	塞斯蒂
cetes	塞特斯
cetyl	十六烷基
cezve	管
chace	每一个
chack	查克
chaco	查科
chado	查多
chads	查兹
chaft	这个
chais	查伊斯
chals	查尔斯
chams	查姆斯
chana	查纳
chang	青稞酒
chank	成克
chape	查佩
chaps	皮套裤
chapt	小伙子
chara	查拉
chare	查理
chark	查克
charr	查尔
chars	查斯
chary	谨慎的
chats	聊天
chave	钥匙
chavs	查维斯
chawk	查克
chaws	查斯
chaya	查亚
chays	蔡斯
cheep	奇普
chefs	厨师
cheka	检查
chela	大提琴
chelp	切普
chemo	化疗
chems	化学
chere	切尔
chert	燧石
cheth	切思
chevy	雪佛兰
chews	咀嚼
chewy	难嚼的
chiao	焦立中
chias	基亚斯
chibs	孩子们
chica	女孩
chich	时髦的
chico	奇科
chics	时髦的
chiel	基尔
chiks	奇克斯
chile	智利
chimb	奇姆
chimo	奇摩
chimp	黑猩猩
chine	Chine
ching	青
chink	裂口
chino	奇诺
chins	下巴
chips	炸薯条
chirk	奇克
chirl	奇尔
chirm	框架
chiro	奇罗
chirr	奇尔
chirt	奇特
chiru	圆圈
chits	奇茨
chive	韭菜
chivy	奇维
chizz	奇兹
choco	震惊
chocs	冲击
chode	Chode
choil	唱诗班
choko	乔科
choky	窒息的
chola	乔拉
choli	切利
cholo	乔洛
chomp	咀嚼
chons	Chons公司
choof	乔夫
choon	六月
chops	砍
chota	乔塔
chott	乔特
chout	乔特
choux	卷心菜
chowk	乔克
chows	食物
chubs	笨蛋
chufa	丘法
chuff	笨蛋
chugs	查格斯
chums	密友
churl	粗野的人
churr	丘尔
chuse	选择
chuts	溜槽
chyle	科尔
chyme	食糜
chynd	去
cibol	赛博
cided	苹果酒
cides	苹果酒
ciels	天空
ciggy	雪茄烟
cilia	纤毛
cills	cils
cimar	顶部
cines	电影
cinqs	辛克斯
cions	歌曲
cippi	古罗马
circs	马戏团
cires	蜡
cirls	卷云
cirri	西里
cisco	思科
cissy	西西
cists	系统
cital	城堡
cited	引用
citer	西特尔
cites	引用
cives	雪茄
civet	果子狸
civie	西维
civvy	平民
clach	岩石
clade	分支
clads	枝
claes	钥匙
clags	克拉格
clame	蛤蜊
clams	蛤蜊
clans	家族
claps	鼓掌
clapt	克拉普特
claro	清楚的
clart	清楚的
clary	克莱里
clast	碎屑
clats	克拉
claut	克劳特
clave	钥匙
clavi	钥匙
claws	爪
clays	粘土
cleck	克莱克
cleek	克莱克
cleep	克莱普
clefs	谱号
clegs	聪明的
cleik	克莱克
clems	克莱姆斯
clepe	克莱普
clept	悄悄地
cleve	克莱夫
clews	线索
clied	克莱德
clies	咔哒声
clift	克利夫特
clime	气候
cline	克莱恩
clint	克林特
clipe	削减
clips	剪辑
clipt	陈词滥调
clits	阴蒂
cloam	克隆
clods	土块
cloff	克洛夫
clogs	木屐
cloke	时钟
clomb	克隆
clomp	跺脚
clonk	克朗克
clons	复制同时包含克隆和原始克隆（可能是成组）的选择时，请重新链接复制的克隆
cloop	哗啦
cloot	克洛特
clops	克洛普斯
clote	克隆
clots	血块
clour	克洛尔
clous	克劳斯
clows	克洛斯
cloye	克洛伊
cloys	克洛伊斯
cloze	完形填空
clubs	俱乐部
clues	线索
cluey	线索
clunk	咯咯声
cnida	新的
coact	合作
coady	科迪
coala	床单
coals	煤
coaly	煤
coapt	烤
coarb	考伯
coate	科特
coati	科蒂
coats	外套
cobbs	科布斯
cobby	科比
cobia	科比亚
coble	科布尔
cobza	抄袭
cocas	可可豆
cocci	球菌
cocco	椰子
cocks	公鸡
cocky	自大的
cocos	可可
codas	尾声
codec	编解码器
coded	编码的
coden	代码
coder	编码员
codes	代码
codex	法典
codon	密码子
coeds	女生
coffs	咖啡
cogie	操
cogon	科贡
cogue	科格
cohab	科哈布
cohen	科恩
cohoe	科霍
cohog	棕色的
cohos	科霍斯
coifs	头巾
coign	点火
coils	线圈
coins	硬币
coirs	椰子
coits	科茨
coked	焦化
cokes	可乐
colas	尾巴
colby	科尔比
colds	感冒
coled	科尔德
coles	具有
coley	科利
colic	绞痛
colin	科林
colls	科尔斯
colly	科利
colog	颜色
colts	小马
colza	科扎
comae	使残废
comal	科马尔
comas	逗号
combe	梳子
combi	康比
combo	联合体
combs	梳子
comby	康比
comer	到场者
comes	来
commo	常见的
comms	通信
commy	康米
compo	镇静
comps	公司
compt	康普特
comte	数
comus	科姆斯
coned	科内德
cones	椎体
coney	科尼
confs	交谈
conga	康加
conge	康奇
congo	刚果
conia	科尼亚
conin	科宁
conks	康克斯
conky	康基
conne	笨蛋
conns	康涅狄格州
conte	账目
conto	解释
conus	柯纳斯
convo	康沃
cooch	库奇
cooed	咕咕
cooee	库伊
cooer	库尔
cooey	库伊
coofs	库夫斯
cooks	厨师
cooky	库克
cools	冷却
cooly	冷静的
coomb	库姆
cooms	库姆斯
coomy	酷
coons	库恩斯
coops	鸡舍
coopt	笼子
coost	库斯特
coots	库茨
cooze	煮
copal	杯子
copay	科帕伊
coped	应付
copen	科本
coper	科珀
copes	杯子
coppy	副本
copra	椰子酱
copsy	警察
coqui	科奎
coram	科拉姆
corbe	科比
corby	科尔比
cords	绳索
cored	核心
cores	核心
corey	科里
corgi	科基
coria	科里亚
corks	软木塞
corky	软木的
corms	球茎
corni	科尼
corno	科诺
corns	玉米
cornu	科努
corps	军团
corse	比赛
corso	课程
cosec	科赛克
cosed	宠爱
coses	东西
coset	陪集
cosey	舒适的
cosie	科西
costa	科斯塔
coste	成本
costs	成本
cotan	科坦
coted	婴儿床
cotes	婴儿床
coths	科茨
cotta	科塔
cotts	科茨
coude	弯头，弯头
coups	政变
courb	库布
courd	Courd公司
coure	将~a移到红心皇后身上。
cours	课程
couta	库塔
couth	成本
coved	觊觎
coves	海湾
covin	科文
cowal	考尔
cowan	考恩
cowed	畏缩
cowks	牛仔
cowls	风帽
cowps	牛仔
cowry	考里
coxae	臀部
coxal	Coxal
coxed	哄
coxes	可乐
coxib	抑制剂
coyau	科约
coyed	羞怯的
coyer	害羞的
coypu	科普
cozed	舒适的
cozen	欺骗
cozes	可口可乐
cozey	你好！
cozie	烹调
craal	昨天
crabs	蟹
crags	峭壁
craic	克雷克
craig	克雷格
crake	裂纹
crame	奶油
crams	填鸭
crans	克兰斯
crape	废话
craps	废话
crapy	糟糕的
crare	克雷
craws	峭壁
crays	克雷斯
creds	信任状
creel	筒子架
crees	你相信吗？
crems	面霜
crena	奶油
creps	裂缝
crepy	创造
crewe	创建
crews	船员
crias	小狗
cribs	婴儿床
cries	哭
crims	罪行
crine	哭
crios	克里奥斯
cripe	地窖
crips	哎呀
crise	危机
crith	克里特
crits	关键的
croci	十字架
crocs	尖牙
croft	克罗夫特
crogs	克罗格斯
cromb	克朗
crome	铬
cronk	克朗克
crons	老太婆
crool	克罗尔
croon	低吟
crops	作物
crore	克罗尔
crost	地壳
crout	克劳特
crows	乌鸦
croze	克罗兹
cruck	克鲁克
crudo	粗制的
cruds	积垢
crudy	克鲁迪
crues	洪水
cruet	拐杖
cruft	粗糙的
crunk	克鲁克
cruor	凝血
crura	克鲁拉
cruse	地壳
crusy	结壳
cruve	克鲁夫
cryer	哭闹者
ctene	女儿
cubby	小房间
cubeb	库布
cubed	立方
cuber	立方体
cubes	立方体
cubit	立方英尺
cuddy	卡迪
cuffo	袖口
cuffs	袖口
cuifs	CUIFS公司
cuing	线索
cuish	库什
cuits	熟的
cukes	糖
culch	卡尔奇
culet	库莱特
culex	库蚊
culls	挑选
cully	卡利
culms	秆
culpa	过失
culti	邪教
cults	邪教
culty	邪教
cumec	库梅克
cundy	狡猾的
cunei	楔形文字
cunit	库尼特
cunts	贱人
cupel	碗橱
cupid	丘比特
cuppa	库帕
cuppy	丘比
curat	清洁的
curbs	限制
curch	克奇
curds	凝乳
curdy	可恶的
cured	治愈
curer	类型
cures	治愈
curet	刮匙
curfs	曲线
curia	库里亚
curie	居里夫人
curli	是咖喱。
curls	卷发
curns	凝乳
curny	暴躁的
currs	咖喱
cursi	进展
curst	诅咒
cusec	CUSEC
cushy	轻松的
cusks	尖头
cusps	尖端
cuspy	轻快的
cusso	新的
cusum	库苏姆
cutch	卡奇
cuter	更可爱的
cutes	削减
cutey	可爱的
cutin	角质
cutis	皮肤
cutto	卡托
cutty	卡蒂
cutup	切
cuvee	库维
cuzes	沙发
cyano	氰基
cyans	青色
cycad	苏铁
cycas	苏铁
cyder	网络
cylix	赛利克斯
cymae	之前
cymar	蓝色
cymas	聚伞花序
cymes	方案
cymol	西莫
cysts	囊肿
cytes	细胞
cyton	细胞素
czars	时间
daals	放下
dabba	达巴
daces	达克斯
dacha	达卡
dacks	笨蛋
dadah	药物
dadas	鉴于
dados	数据
daffs	愚蠢的
daffy	达菲
dagga	露水
daggy	匕首
dagos	是
dahls	达尔
daiko	大子。
daine	戴恩
daint	颜色
daker	达克尔
daled	戴上
dales	戴尔
dalis	达利斯
dalle	从
dalts	磨蹭
daman	达曼
damar	达马尔
dames	女士
damme	池塘
damns	达姆斯
damps	潮湿
dampy	潮湿的
dancy	跳舞
dangs	该死
danio	丹麦语
danks	谢谢
danny	丹尼
dants	但丁
daraf	时代
darbs	工作
darcy	达西
dared	敢于
darer	敢于
dares	敢于
darga	达尔加
dargs	黑暗的
daric	达里克
daris	黑暗的
darks	黑暗
darky	黑暗的
darns	该死的
darre	最后的
darts	飞镖
darzi	飞镖
dashi	大石
dashy	时髦的
datal	数据
dated	过时的
dater	_其他组织者
dates	日期
datos	数据
datto	日期
daube	道贝
daubs	涂抹
dauby	涂抹
dauds	涂抹
dault	涂抹
daurs	达斡尔族
dauts	抚摸
daven	达文斯
davit	吊柱
dawah	再见。
dawds	黎明
dawed	黎明
dawen	道恩
dawks	剂量
dawns	黎明
dawts	道茨
dayan	白天
daych	戴奇
daynt	丹特
dazed	茫然
dazer	眩晕
dazes	发呆
deads	死亡
deair	设计
deals	交易
deans	院长
deare	亲爱的
dearn	迪恩
dears	亲爱的
deary	亲爱的
deash	红色
deave	迪夫
deaws	死亡
deawy	迪威
debag	德巴
debby	黛比
debel	厚的
debes	你必须
debts	债务
debud	取芽
debur	去毛刺
debus	调试
debye	黛比
decad	脱咖啡因
decaf	脱咖啡因咖啡
decan	德肯
decko	甲板
decks	甲板
decos	装饰
dedal	德达尔
deeds	事迹
deedy	迪迪
deely	部分
deems	认为
deens	服务
deeps	深渊
deere	迪尔
deers	鹿
deets	迪茨
deeve	迪夫
deevs	服务
defat	脱脂
deffo	德福
defis	迪菲
defog	笛福
degas	德加
degum	德根
degus	住宅
deice	设备
deids	神明
deify	神化
deils	%1分升
deism	自然神论
deist	自然神论者
deked	脱咖啡因
dekes	甲板
dekko	德科
deled	删除
deles	其中之一
delfs	代尔斯
delft	代尔夫特
delis	熟食店
dells	戴尔
delly	德利
delos	德洛斯
delph	德尔夫
delts	钻研
deman	明天
demes	一角硬币
demic	德米克
demit	退出
demob	演示
demoi	德莫
demos	演示
dempt	免除
denar	钱
denay	否认
dench	丹奇
denes	丹斯
denet	德内
denis	丹尼斯
dents	凹痕
deoxy	脱氧核糖核酸
derat	预计起飞时间
deray	门
dered	德雷德
deres	他们的
derig	衍生
derma	真皮
derms	真皮
derns	德恩斯
derny	日记
deros	德罗斯
derro	贬损
derry	德里
derth	德思
dervs	德尔夫
desex	苔丝
deshi	德西
desis	德西斯
desks	办公桌
desse	放下
devas	剂量
devel	德维尔
devis	设计
devon	德文郡
devos	必须
devot	致力于
dewan	委员会
dewar	杜瓦瓶
dewax	脱蜡
dewed	露水
dexes	十
dexie	德克西
dhaba	真的？
dhaks	达克斯
dhals	达尔
dhikr	迪克尔
dhobi	多比
dhole	多尔
dholl	多尔
dhols	杜尔斯
dhoti	多蒂
dhows	邻居
dhuti	杜蒂
diact	迪亚克
dials	刻度盘
diane	黛安
diazo	重氮
dibbs	迪布斯
diced	切成丁
dicer	说
dices	骰子
dicht	关闭
dicks	迪克
dicky	迪克
dicot	双子叶
dicta	口述
dicts	格言
dicty	迪克蒂
diddy	迪迪
didie	迪迪
didos	迪多斯
didst	迪斯特
diebs	盗贼
diels	迪尔斯
diene	二烯烃
diets	饮食
diffs	差异
dight	迪格特
dikas	迪卡斯
diked	装饰
diker	戴克
dikes	堤坝
dikey	戴基
dildo	假阴茎
dilli	迪利
dills	莳萝
dimbo	丁博
dimer	二聚体
dimes	一角硬币
dimps	酒窝
dinar	第纳尔
dined	吃饭
dines	用餐
dinge	东西
dings	叮当声
dinic	迪尼奇
dinks	丁克斯
dinky	极小的
dinna	本地的
dinos	告诉我们
dints	牙齿
diols	二醇
diota	迪奥塔
dippy	笨蛋
dipso	下降
diram	迪拉姆
direr	说
dirke	比赛
dirks	德克斯
dirls	迪尔斯
dirts	污垢
disas	说
disci	光盘
discs	光盘
dishy	美味的
disks	磁盘
disme	十
dital	迪塔尔
ditas	迪塔斯
dited	编辑
dites	说吧。
ditsy	迪西
ditts	小调
ditzy	迪齐
divan	女主角
divas	女主角
dived	跳水
dives	跳水
divis	除数
divna	精彩的
divos	迪沃斯
divot	迪沃
divvy	迪维
diwan	塔穆兹的
dixie	迪克西
dixit	他说，
diyas	智利
dizen	昨天
djinn	吉恩
djins	男人
doabs	多布斯
doats	多茨
dobby	多比
dobes	双重的
dobie	每日的
dobla	弯曲
dobra	好的
dobro	好 啊
docht	医生
docks	码头
docos	多科斯
doddy	狡猾的
dodos	渡渡鸟
doeks	点
doers	实干家
doest	实干家
doeth	多斯
doffs	脱毛
dogan	多根
doges	狗狗
dogey	多吉
doggo	狗狗
doggy	狗狗
dogie	狗
dohyo	土表
doilt	多伊尔
doily	多利
doits	doits公司
dojos	道场
dolce	多尔西
dolci	糖果
doled	施舍
doles	救济金
dolia	美元
dolls	玩偶
dolma	多尔玛
dolor	痛苦的
dolos	多洛斯
dolts	笨蛋
domal	领域
domed	圆顶的
domes	圆顶
domic	多米克
donah	斯托拉
donas	数据
donee	受赠人
doner	多纳
donga	东啊
dongs	洞
donko	顿科
donna	唐娜
donne	多恩
donny	唐尼
donsy	唐西
doobs	末日
dooce	毒死
doody	杜迪
dooks	末日
doole	杜勒
dools	死亡
dooly	杜利
dooms	厄运
doomy	厄运
doona	找到
doorn	刺
doors	门
doozy	杜兹
dopas	之后
doped	掺杂
doper	兴奋剂
dopes	兴奋剂
dorad	线
dorba	是宿舍。
dorbs	多布斯
doree	多莉
dores	疼痛
doric	多里克
doris	多丽丝
dorks	笨蛋
dorky	笨蛋
dorms	宿舍
dormy	宿舍
dorps	村庄
dorrs	多尔斯
dorsa	多萨
dorse	多丝
dorts	蛋糕
dorty	蛋糕
dosai	文件夹
dosas	多萨斯
dosed	剂量
doseh	剂量
doser	剂量
doses	剂量
dosha	板
dotal	溺爱的
doted	宠爱
doter	点
dotes	宠爱
dotty	多蒂
douar	水
douce	柔软的
doucs	杜克斯
douks	多克斯
doula	杜拉
douma	斗马
doums	多姆斯
doups	豆荚
doura	金色的
douse	灌洗
douts	怀疑
doved	俯冲
doven	懒惰的
dover	多佛
doves	鸽子
dovie	再见
dowar	道瓦
dowds	道兹
dowed	嫁妆
dower	嫁妆
dowie	你会知道的
dowle	道尔
dowls	销钉
dowly	寒酸的
downa	向下
downs	唐斯
dowps	道普
dowse	道斯
dowts	道茨
doxed	打瞌睡
doxes	打瞌睡
doxie	多克西
doyen	老前辈
doyly	多伊尔斯
dozed	打瞌睡
dozer	推土机
dozes	打瞌睡
drabs	单调的
drack	喝
draco	德拉科
draff	拖沓
drags	拖拉
drail	拖拉
drams	德拉姆斯
drant	德兰特
draps	杀戮
drats	单调的
drave	拖拽
draws	绘制
drays	德雷斯
drear	正确的
dreck	污垢
dreed	三
dreer	通过
drees	德雷斯
dregs	渣滓
dreks	正确的
drent	德兰特
drere	德雷尔
drest	德雷斯特
dreys	德雷斯
dribs	点点滴滴
drice	德里斯
dries	干燥
drily	干的
drips	滴
dript	滴
droid	机器人
droil	滴水
droke	拖拽
drole	正确的
drome	娱乐场
drony	无人机
droob	勇气
droog	干的
drook	卓克
drops	滴
dropt	滴落
drouk	滴
drows	卓尔
drubs	德鲁布
drugs	药物
drums	鼓
drupe	核果
druse	葡萄
drusy	俄语
druxy	德鲁西
dryad	德赖德
dryas	Dryas
dsobo	DSOBO公司
dsomo	德索莫
duads	杜阿德
duals	双重的
duans	杜恩斯
duars	手
dubbo	笨蛋
ducal	公爵
ducat	杜卡特
duces	公爵
ducks	鸭子
ducky	小鸭
ducts	管道
duddy	达迪
duded	老兄
dudes	伙计们
duels	决斗
duets	二重唱
duett	二重唱
duffs	笨蛋
dufus	杜福斯
duits	英寸
dukas	杜卡斯
duked	达克
dukes	公爵
dukka	女儿
dulce	甜蜜的
dules	杜勒斯
dulia	杜利亚
dulls	迟钝的
dulse	评级
dumas	大仲马
dumbo	小飞象
dumbs	笨蛋
dumka	杜姆卡
dumky	倾倒
dumps	倾倒
dunam	杜南
dunch	晚午餐
dunes	沙丘
dungs	粪便
dungy	邓吉
dunks	扣篮
dunno	不知道
dunny	邓尼
dunsh	笨蛋。
dunts	扣篮
duomi	数据
duomo	大教堂
duped	欺骗
duper	骗子
dupes	欺骗
duple	双重
duply	屁股
duppy	笨蛋
dural	硬脑膜
duras	杜拉斯
dured	持续时间
dures	杜尔斯
durgy	杜吉
durns	白痴
duroc	杜洛克
duros	杜罗斯
duroy	杜洛瓦
durra	杜拉
durrs	杜尔斯
durry	疼痛
durst	德斯特
durum	硬粒
durzi	杜尔齐
dusks	黄昏
dusts	灰尘
duxes	杜克斯
dwaal	二重的
dwale	德维尔
dwalm	德瓦尔姆
dwams	德拉姆斯
dwang	胁迫
dwaum	德沃姆
dweeb	德韦布
dwile	德韦恩
dwine	二
dyads	二分体
dyers	染色工
dyked	Dyked
dykes	堤坝
dykey	戴基
